Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Ford motor co.,F,"",13369.0,118000.0,0.0198,,149,13369.0,,new,0.0003421,Q4 2020,CONSUMER DISCRETIONARY,13F,12/31/2020,8.79,12.27
Two harbors investments corp,TWO,"",16808.0,107000.0,0.0179,0.0178,150,123.0,0.737189,addition,0.0061410,Q4 2018,REAL ESTATE,13F,12/31/2020,11.8099,7.33
Durect corp,DRRX,"",50000.0,104000.0,0.0174,0.018,151,0.0,0.0,,0.0246088,Q3 2015,HEALTH CARE,13F,12/31/2020,1.22,2.34
Mallinckrodt plc,MNKKQ,"",300548.0,60000.0,0.01,,152,300548.0,,new,0.3552373,Q4 2020,HEALTH CARE,13F,12/31/2020,0.201,0.455
Genius brnds int,GNUS,"",41300.0,57000.0,0.0095,,153,41300.0,,new,0.0188559,Q4 2020,COMMUNICATIONS,13F,12/31/2020,1.38,1.77
Western copper and gold corp,WRN,"",37000.0,46000.0,0.0077,,154,37000.0,,new,0.0272866,Q4 2020,MATERIALS,13F,12/31/2020,1.23,1.87
Nexgen energy ltd,NXE,"",10200.0,28000.0,0.0047,,155,10200.0,,new,0.0027011,Q4 2020,ENERGY,13F,12/31/2020,2.76,3.87
Uranium energy corp,UEC,"",14800.0,26000.0,0.0044,,156,14800.0,,new,0.0074350,Q4 2020,MATERIALS,13F,12/31/2020,1.76,2.31
Salesforce.com inc.,CRM,"",0.0,0.0,,0.0442,"",-839.0,-100.0,soldall,0.0000000,Q3 2020,INFORMATION TECHNOLOGY,13F,12/31/2020,251.32,240.47
Civeo corp,CVEO,"",0.0,0.0,,0.0029,"",-1666.0,-100.0,soldall,0.0000000,Q3 2020,CONSUMER DISCRETIONARY,13F,12/31/2020,97.24,20.14
Enterprise products partners lp,EPD,"",0.0,0.0,,0.0415,"",-12512.0,-100.0,soldall,0.0000000,Q4 2017,ENERGY,13F,12/31/2020,26.09,22.1
Titan medical inc,TMDI,"",0.0,0.0,,0.026,"",-168200.0,-100.0,soldall,0.0000000,Q2 2020,HEALTH CARE,13F,12/31/2020,0.84,2.36
Sientra inc,SIEN,"",0.0,0.0,,0.0134,"",-18731.0,-100.0,soldall,0.0000000,Q3 2020,HEALTH CARE,13F,12/31/2020,3.4,8.04
